
Graph          : HP_booksAll-statistics
Arestas        :   2724  , Vertices:   192   
[1.0, 'Goyle Sr Mr', 'Griselda Marchbanks']
[1.0, 'Goyle Sr Mr', 'Luna Lovegood']
[1.0, 'Goyle Sr Mr', 'Madam Hooch']
[1.0, 'Goyle Sr Mr', 'Marcus Flint']
[1.0, 'Goyle Sr Mr', 'Millicent Bulstrode']
[1.0, 'Goyle Sr Mr', 'Percy Weasley']
[1.0, 'Goyle Sr Mr', 'Vernon Dursley Mr']
[1.0, 'Graham Montague', 'Dudley Dursley']
[1.0, 'Graham Montague', 'Lee Jordan']
[1.0, 'Grawp', 'Aragog']
[1.0, 'Grawp', 'Luna Lovegood']
[1.0, 'Grawp', 'Sybill Trelawney']
[1.0, 'Gregory Goyle', 'Fred Weasley']
[1.0, 'Griphook', 'Fenrir Greyback']
[1.0, 'Griphook', 'Tom Marvolo Riddle']
[1.0, 'Griselda Marchbanks', 'Draco Malfoy']
[1.0, 'Griselda Marchbanks', 'Parvati Patil']
[1.0, 'Hannah Abbott', 'Cedric Diggory']
[1.0, 'Hannah Abbott', 'Cho Chang']
[1.0, 'Hannah Abbott', 'Fred Weasley']
[1.0, 'Hannah Abbott', 'Lavender Brown']
[1.0, 'Hannah Abbott', 'Madam Hooch']
[1.0, 'Hannah Abbott', 'Sirius Black']
[1.0, 'Hannah Abbott', 'Terry Boot']
[1.0, 'Harry Potter Mr', 'Charity Burbage']
[1.0, 'Harry Potter Mr', 'Wilhelmina Grubbly-Plank']
[1.0, 'Hedwig', 'Arthur Weasley Mr']
[1.0, 'Hedwig', 'Buckbeak']
[1.0, 'Hedwig', 'Minerva McGonagall']
[1.0, 'Hedwig', 'Nearly Headless Nick']
[1.0, 'Hedwig', 'Sybill Trelawney']
[1.0, 'Helena Ravenclaw Grey Lady', 'Anthony Goldstein']
[1.0, 'Helena Ravenclaw Grey Lady', 'Buckbeak']
[1.0, 'Helena Ravenclaw Grey Lady', 'Cuthbert Binns']
[1.0, 'Helena Ravenclaw Grey Lady', 'Dean Thomas']
[1.0, 'Helena Ravenclaw Grey Lady', 'Katie Bell']
[1.0, 'Helena Ravenclaw Grey Lady', 'Lavender Brown']
[1.0, 'Helena Ravenclaw Grey Lady', 'Michael Corner']
[1.0, 'Helena Ravenclaw Grey Lady', 'Pansy Parkinson']
[1.0, 'Helena Ravenclaw Grey Lady', 'Zacharias Smith']
[1.0, 'Hermione Granger', 'Dennis Creevey']
[1.0, 'Hermione Granger', 'Elphias Doge']
[1.0, 'Hermione Granger', 'Magorian']
[1.0, 'Hermione Granger', 'Morfin Gaunt']
[1.0, 'Hermione Granger', 'Theodore Nott']
[1.0, 'Hermione Granger', 'Vernon Dursley Mr']
[1.0, 'Horace Slughorn', 'Alastor Mad-Eye Moody']
[1.0, 'Horace Slughorn', 'Bane']
[1.0, 'Horace Slughorn', 'Bob Ogden']
[1.0, 'Horace Slughorn', 'Dirk Cresswell']
[1.0, 'Horace Slughorn', 'Frank Longbottom Mr']
[1.0, 'Horace Slughorn', 'Helena Ravenclaw Grey Lady']
[1.0, 'Horace Slughorn', 'Hokey']
[1.0, 'Horace Slughorn', 'Katie Bell']
[1.0, 'Horace Slughorn', 'Parvati Patil']
[1.0, 'Hugo Weasley', 'Ron Weasley']
[1.0, 'Ignotus Peverell', 'Antioch Peverell']
[1.0, 'Ignotus Peverell', 'Kreacher']
[1.0, 'Igor Karkaroff', 'Pigwidgeon Pig ']
[1.0, 'Irma Pince', 'Argus Filch']
[1.0, 'Irma Pince', 'Gilderoy Lockhart']
[1.0, 'Irma Pince', 'Hannah Abbott']
[1.0, 'Irma Pince', 'Severus Snape']
[1.0, 'James Potter', 'Arthur Weasley Mr']
[1.0, 'James Potter', 'Blaise Zabini']
[1.0, 'James Potter', 'Kreacher']
[1.0, 'James Potter', 'Rubeus Hagrid']
[1.0, 'Justin Finch-Fletchley', 'Anthony Goldstein']
[1.0, 'Justin Finch-Fletchley', 'Cornelius Fudge']
[1.0, 'Justin Finch-Fletchley', 'Draco Malfoy']
[1.0, 'Justin Finch-Fletchley', 'Filius Flitwick']
[1.0, 'Justin Finch-Fletchley', 'Hannah Abbott']
[1.0, 'Justin Finch-Fletchley', 'Pomona Sprout']
[1.0, 'Katie Bell', 'Argus Filch']
[1.0, 'Katie Bell', 'Dean Thomas']
[1.0, 'Katie Bell', 'Goyle Sr Mr']
[1.0, 'Katie Bell', 'Marcus Flint']
[1.0, 'Katie Bell', 'Zacharias Smith']
[1.0, 'Kingsley Shacklebolt', 'Augustus Rookwood']
[1.0, 'Kingsley Shacklebolt', 'Draco Malfoy']
[1.0, 'Kingsley Shacklebolt', 'Elphias Doge']
[1.0, 'Kingsley Shacklebolt', 'Emmeline Vance']
[1.0, 'Kingsley Shacklebolt', 'Lord Voldemort']
[1.0, 'Kingsley Shacklebolt', 'Marietta Edgecombe']
[1.0, 'Kingsley Shacklebolt', 'Molly Weasley Mrs']
[1.0, 'Kingsley Shacklebolt', 'Nearly Headless Nick']
[1.0, 'Kingsley Shacklebolt', 'Sturgis Podmore']
[1.0, 'Kreacher', 'Alastor Mad-Eye Moody']
[1.0, 'Kreacher', 'Buckbeak']
[1.0, 'Kreacher', 'Petunia Dursley Mrs']
[1.0, 'Lavender Brown', 'Fat Lady']
[1.0, 'Lavender Brown', 'Fred Weasley']
[1.0, 'Lavender Brown', 'Horace Slughorn']
[1.0, 'Lavender Brown', 'Pansy Parkinson']
[1.0, 'Lavender Brown', 'Pomona Sprout']
[1.0, 'Lavender Brown', 'Severus Snape']
[1.0, 'Lee Jordan', 'Antonin Dolohov']
[1.0, 'Lee Jordan', 'Cho Chang']
[1.0, 'Lee Jordan', 'Dean Thomas']
[1.0, 'Lee Jordan', 'Ginny Weasley']
[1.0, 'Lee Jordan', 'Gregory Goyle']
[1.0, 'Lee Jordan', 'Hannah Abbott']
[1.0, 'Lee Jordan', 'Ludo Bagman']
[1.0, 'Lee Jordan', 'Molly Weasley Mrs']
[1.0, 'Lee Jordan', 'Remus Lupin R']
[1.0, 'Lee Jordan', 'Ted Tonks']
[1.0, 'Lee Jordan', 'Viktor Krum']
[1.0, 'Lily Potter Mrs', 'Alastor Mad-Eye Moody']
[1.0, 'Lily Potter Mrs', 'Fat Lady']
[1.0, 'Lily Potter Mrs', 'Horace Slughorn']
[1.0, 'Lily Potter Mrs', 'Lily Potter Mrs']
[1.0, 'Lily Potter Mrs', 'Lucius Malfoy Mr']
[1.0, 'Lily Potter Mrs', 'Nearly Headless Nick']
[1.0, 'Lily Potter Mrs', 'Teddy Lupin']
[1.0, 'Lord Voldemort', 'Beedle Bard']
